respondent,INT,BE
1115,3.6666666666666665,4.25
1116,4.666666666666667,3.75
1117,4.333333333333333,4.75
1118,2.6666666666666665,2.5
1119,3.6666666666666665,3.5
1120,4.333333333333333,4.5
1121,4.666666666666667,4.75
1122,4.333333333333333,4.25
1123,2.0,2.5
1124,3.0,2.0
1125,3.0,3.0
1126,2.0,2.25
1127,4.0,4.25
1128,4.666666666666667,4.25
1129,2.333333333333333,2.75
1130,4.333333333333333,3.5
1131,4.333333333333333,3.75
1132,4.0,5.0
1133,4.0,4.0
1134,3.6666666666666665,4.25
1135,4.666666666666667,4.25
1136,4.333333333333333,3.75
1137,4.333333333333333,4.0
1138,3.6666666666666665,3.5
1139,3.333333333333333,3.75
1140,3.6666666666666665,3.75
1141,4.666666666666667,4.5
1142,4.333333333333333,4.5
1143,4.0,4.25
1144,4.333333333333333,3.5
1145,4.333333333333333,3.25
1146,4.0,3.5
1147,4.0,4.0
1148,2.0,2.5
1149,4.0,3.75
1150,4.333333333333333,4.0
1151,4.333333333333333,4.25
1152,2.6666666666666665,2.75
1153,3.333333333333333,2.75
1154,2.6666666666666665,2.5
1155,4.333333333333333,4.5
1156,4.333333333333333,3.75
1157,3.333333333333333,4.0
1158,5.0,5.0
1159,4.0,5.0
1160,3.6666666666666665,5.0
1161,4.333333333333333,4.5
1162,4.666666666666667,5.0
1163,4.0,5.0
1164,4.0,3.25
1165,4.333333333333333,4.25
